job_title,company_name,city,country,posted_date,employment_type,education,job_description,skills,job_url,first_seen,last_seen
Video Editor VA,jobgether,,Saudi Arabia,2026-09-11,Part-time,,"This position is listed on behalf of a partner company, who manages all applications and next steps. Our partner is looking for a Video Editor VA (Long-Form Content) based in Saudi Arabia. As a Video Editor Virtual Assistant, you will transform raw footage into polished, engaging long-form video content for clients across international markets. You will manage the editing process from footage organization and trimming through final delivery and revisions. The role is ideal for a detail-oriented video editor who understands pacing, transitions, audio quality, and visual consistency. You will work on formats such as podcasts, interviews, training videos, and other full-length content. You will also add basic graphics, text overlays, and light effects when needed to enhance the final product. This is a flexible, part-time contractor opportunity where quality, reliability, organization, and responsiveness to feedback are highly","['ai', 'davinci resolve', 'final cut pro', 'gdpr', 'premiere pro', 'video editing']",https://jobs.lever.co/jobgether/2b16a273-9cce-40c3-a5fe-7c8c4b3ecbce?utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
BUSINESS ANALYST - PRODUCT SME - CORPORATE BANKING,Duncan & Ross,Riyadh,Saudi Arabia,2026-09-11,Full-time,,"Lead the development of business requirements for commercial-card products supporting corporate purchasing, travel and expense-management needs. Key Responsibilities Define commercial-card propositions, customer segments, card types and supported business use cases. Document end-to-end journeys for corporate onboarding, card issuance, activation, servicing, replacement, suspension and closure. Define company-level and cardholder-level limits, merchant-category controls, geographic controls and transaction restrictions. Capture requirements for physical and virtual cards, where applicable. Define billing, repayment, settlement, fees, statements and reconciliation requirements. Document corporate administrator capabilities, cardholder management, approval workflows and expense visibility. Define transaction monitoring, disputed-transaction, chargeback,",['acceptance criteria'],https://www.careers-page.com/duncan-ross-management-consultancies/job/5W875V4R?utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
BUSINESS ANALYST - PRODUCT SME - CORPORATE BANKING,Duncan & Ross,Riyadh,Saudi Arabia,2026-09-11,Full-time,,"Lead the definition of business requirements for corporate escrow account products aligned with Saudi market demand and AJB's corporate banking proposition. The scope excludes REGA-related requirements, which have already been addressed. Key Responsibilities Assess demand for different corporate escrow use cases and define the target product proposition. Define target customer segments, eligibility criteria, account structures and permitted transaction types. Document end-to-end processes for account opening, funding, transaction authorization, fund release, reconciliation, servicing and closure. Define the roles and obligations of the bank, account holder, beneficiary and other involved parties. Document approval structures, conditions for releasing funds, exception scenarios and dispute-handling requirements. Define operational, legal, compliance, reporting,",['acceptance criteria'],https://www.careers-page.com/duncan-ross-management-consultancies/job/X987R53R?utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
BUSINESS ANALYST - PRODUCT SME - CORPORATE BANKING,Duncan & Ross,Riyadh,Saudi Arabia,2026-09-11,Full-time,,"Define the business requirements for corporate payable solutions that enable customers to initiate, approve, process and monitor domestic and cross-border payments efficiently. Key Responsibilities Define payable product features for single, bulk, scheduled and recurring payments. Document end-to-end journeys covering beneficiary management, payment initiation, authorization, processing, tracking, rejection and reversal. Define corporate approval structures, user entitlements, transaction limits and maker-checker workflows. Capture requirements for file upload, host-to-host connectivity, APIs and corporate digital banking channels. Define requirements for payment cut-offs, value dating, fees, foreign exchange, notifications and transaction-status reporting. Document handling requirements for duplicates, insufficient funds, invalid beneficiaries, sanctions alerts and","['acceptance criteria', 'api']",https://www.careers-page.com/duncan-ross-management-consultancies/job/3W87X5YW?utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
Occupational Violence and Aggression Program Manager,Downer,,Saudi Arabia,2026-09-11,Full-time,,"We currently have an opportunity for an Occupational Violence & Aggression (OVA) Program Manager . Join our H&S hub and play a key role in leading, coordinating and continuously evolving the OVA Program to strengthen workforce safety, preparedness and organisational resilience. Reporting to the General Manager - Zero Harm, you'll translate strategy into a prioritised portfolio of initiatives and help deliver high-quality outcomes that support our essential services. What You'll Do This role offers a broad scope, with key responsibilities including: Own and maintain the Health & Education OVA Program and roadmap, translating strategy into prioritised initiatives, implementation plans and measurable benefits. Lead OVA governance forums, chair the steering committee, and prepare clear executive papers, recommendations and","['governance', 'stakeholder management']",https://fa-exfs-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/736701?utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
Principal Forward-Deployed Engineer,Thoughtworks,Riyadh,Saudi Arabia,2026-09-10,Full-time,,"We're looking for a Tech Principal to lead technical strategy and execution on our most ambitious product work: lighthouse projects inside Thoughtworks' global Customer Experience, Product and Design team. Here's the shape of it. A client arrives with a big idea and not much time. Within a few days, you've helped them turn it into a concept everyone agrees on. Within a few weeks, there's something real that customers can actually use and react to. Within a quarter, it's live. Then you do it again, somewhere else in the world, with a different team, and you leave both of them better at it than they were before. If you have built a career integrating strategy, architecture, AI engineering, and executive collaboration, this role offers an ideal platform to leverage those skills. The approach you'd be leading: We call it 3/3/3 3 days: Product concept. Everyone aligned on scope, objectives and","['agentic ai', 'ai', 'airflow', 'analytics', 'anthropic', 'api', 'api design', 'aws', 'azure', 'bigquery', 'ci cd', 'claude code', 'cloud', 'containerization', 'dagster', 'data engineering', 'databricks', 'dbt', 'devops', 'docker', 'event driven architecture', 'figma', 'gcp', 'gdpr', 'hipaa', 'infrastructure as code', 'kafka', 'kinesis', 'kubernetes', 'langchain', 'langgraph', 'langsmith', 'llamaindex', 'llm', 'microservices', 'next.js', 'observability', 'openai', 'owasp', 'pci dss', 'pgvector', 'pinecone', 'prototyping', 'python', 'react', 'snowflake', 'tdd', 'terraform', 'typescript', 'vector databases']",https://www.thoughtworks.com/careers/jobs/8184778?gh_jid=8184778&utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
Lead Information Security Engineer,tabby,Riyadh,Saudi Arabia,2026-09-10,Full-time,,"Tabby creates financial freedom in the way people shop, earn and save by reshaping their relationship with money. Over 17 million users choose Tabby to stay in control of their spending and make the most out of their money. The company’s flagship offering allows shoppers to split their payments online and in-store with no interest or fees. Over 40,000 global brands and small businesses, including Amazon, Noon, IKEA, and SHEIN use Tabby to accelerate growth and gain loyal customers by offering easy and flexible payments online and in stores. Tabby generates over $10 billion in annual transaction volume for its partner brands and is the highest-rated, most-reviewed, largest, and fastest-growing FinTech in the GCC region. Tabby launched in 2019 and has since raised +$1 billion in equity and debt funding from global and regional investors, and is now valued at $4.5 billion. We are looking for a Lead Cyber Security Engineer to","['aws', 'ci cd', 'cism', 'cissp', 'cloud', 'cloud security', 'container security', 'cyber security', 'cybersecurity', 'dast', 'devsecops', 'dlp', 'edr', 'fintech', 'firewall', 'gcp', 'iam', 'iso 27001', 'kubernetes', 'pci dss', 'penetration testing', 'sast', 'sdlc', 'siem', 'stakeholder management', 'terraform', 'xdr']",https://tabby.pinpointhq.com/en/postings/11f47528-b902-4844-b022-2fc173e760f4?utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
Product & Design Intern,tabby,Riyadh,Saudi Arabia,2026-09-10,Full-time,,"There is no CV screen for this one. The only way in is Tabby Imagine , an open design and product challenge for Saudi Arabia. Three places are awarded, first, second and third, and each winner takes this role. Come up with a product idea for Tabby: something new, or a change to what is already there. Send it in whatever form shows it best: a written page, a Figma file, a clickable prototype, working code, or a short video. One of them is enough, and there is no required format. Everything reaches us as a link. The entry form requires one and there is no file upload, so a written entry is sent as a link to the written page. Every link has to open for anyone holding it. Our design system is public at . Entries are read blind. Your name is hidden while the panel scores. The strongest entrants present their work live at the final, in front of an audience. That session replaces the interview for this role. Naming you","['figma', 'fintech', 'prototyping']",https://tabby.pinpointhq.com/en/postings/a2ba67df-d612-4588-8d02-c9cc4eb9f060?utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
Product & Design Intern,tabby,Riyadh,Saudi Arabia,2026-09-10,Full-time,,"How you get this role There is no CV screen for this one. The only way in is Tabby Imagine , an open design and product challenge for Saudi Arabia. Three places are awarded, first, second and third, and each winner takes this role. Come up with a product idea for Tabby: something new, or a change to what is already there. Send it in whatever form shows it best: a written page, a Figma file, a clickable prototype, working code, or a short video. One of them is enough, and there is no required format. Everything reaches us as a link. The entry form requires one and there is no file upload, so a written entry is sent as a link to the written page. Every link has to open for anyone holding it. Our design system is public at . Entries are read blind. Your name is hidden while the panel scores. The strongest entrants present their work live at the final, in front of an audience. That session replaces the interview","['figma', 'fintech', 'prototyping']",https://tabby.pinpointhq.com/en/postings/ed3fd640-2960-4a4c-b078-8751fa0df872?utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
"Forward Deployed Engineer, GCC",Telnyx,Riyadh,Saudi Arabia,2026-09-10,Full-time,,"About Telnyx Telnyx is an industry leader that's not just imagining the future of global connectivity we're building it. From architecting and amplifying the reach of a private, global, multi-cloud IP network , to bringing hyperlocal edge technology right to your fingertips through intuitive APIs, we're shaping a new era of seamless interconnection between people, devices, and applications. We're driven by a desire to transform and modernize what's antiquated, automate the manual, and solve real-world problems through innovative connectivity solutions. As a testament to our success, we're proud to stand as a financially stable and profitable company. Our robust profitability allows us not only to invest in pioneering technologies but also to foster an environment of continuous learning and growth for our","['ai', 'api', 'ci cd', 'cloud', 'cloud native', 'conversational ai', 'devops', 'docker', 'etl', 'event driven architecture', 'fine tuning', 'iam', 'kubernetes', 'llm', 'mistral', 'mysql', 'node.js', 'observability', 'ollama', 'openai', 'opentelemetry', 'oracle', 'postgresql', 'python', 'saas', 'secrets management', 'sql', 'vllm']",https://job-boards.greenhouse.io/telnyx54/jobs/7826744003?utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
Data Analyst Engineer: AI-Driven Power BI Insights,Nexttec Technology Outsourcing,Jeddah,Saudi Arabia,2026-09-10,Full-time,,"Nexttec Technology Outsourcing is seeking an IT Data Analyst to analyze complex datasets and deliver actionable insights. You will build Power BI dashboards and reports across Finance, Procurement, Supply Chain, and Sales, ensuring data governance and standardized visuals. Ideal candidates have 3 7 years in data analysis, strong SQL and BI skills, and familiarity with AI-enabled analytics in tools like Power BI.","['ai', 'analytics', 'data analysis', 'data governance', 'governance', 'power bi', 'powerbi', 'sql']",https://en-sa.whatjobs.com/pub_api__cpl__10729750__7118?geoID=18992&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
Data Analyst Engineer Saudi National,Nexttec Technology Outsourcing,Jeddah,Saudi Arabia,2026-09-10,Full-time,,", permanent position Position: Data Analyst Engineer Company Overview: Nexttec Technology Outsourcing is a leading technology outsourcing company that specializes in providing innovative and cost-effective IT solutions to businesses of all sizes. We pride ourselves on our commitment to delivering exceptional services and solutions to our clients, and we are looking for a highly skilled IT Data Analyst to join our team. Position Overview: As an IT Data Analyst at Nexttec Technology Outsourcing, you will be responsible for analyzing and interpreting complex data sets to identify trends, patterns, and insights that will drive business decisions and strategies. You will work closely with our clients to understand their data needs and provide them with actionable insights to improve their business performance. Key Job Duties of an IT Data Analyst Work with business stakeholders to understand their data needs and analytical","['ai', 'analytics', 'automation', 'data analytics', 'data governance', 'data modeling', 'data pipelines', 'data quality', 'data science', 'data visualization', 'data warehousing', 'etl', 'lakehouse', 'looker', 'microsoft fabric', 'mysql', 'oracle', 'power query', 'powerbi', 'python', 'sql', 'statistics', 'tableau']",https://en-sa.whatjobs.com/pub_api__cpl__10730814__7118?geoID=18992&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
Cloud Data Engineer: Azure & Databricks Pipelines,DS DeepSource,Mecca,Saudi Arabia,2026-09-10,Full-time,,"DS DeepSource is seeking an L1 Data Engineer to design, build, and maintain scalable data pipelines and data infrastructure in a cloud-native environment. You will work hands-on with Azure Data Factory, Databricks, PySpark, and SQL to support BI and analytics across the organization. The role emphasizes data quality, governance, and scalable architectures, with opportunities to contribute to data platform enhancements in a collaborative, fast-paced team.","['analytics', 'azure', 'azure data factory', 'cloud', 'cloud native', 'data pipelines', 'data quality', 'databricks', 'governance', 'pyspark', 'sql']",https://en-sa.whatjobs.com/pub_api__cpl__10730960__7118?utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
Data Engineer,Telgani | Rent a car,Riyadh,Saudi Arabia,2026-09-10,Full-time,,"Build and maintain ETL/ELT data pipelines Develop and optimize databases and data workflows Ensure data quality, accuracy, and reliability Integrate data from multiple systems and sources Support analytics, reporting, and BI requirements Collaborate with engineering and business teams Requirements: Strong knowledge of SQL and relational databases Experience with Python for data processing and automation Familiarity with data warehouses and ETL/ELT tools Experience with cloud platforms such as AWS, Azure, or Google Cloud Strong problem-solving and analytical skills","['analytics', 'automation', 'aws', 'azure', 'cloud', 'data pipelines', 'data quality', 'elt', 'etl', 'gcp', 'google cloud', 'python', 'sql']",https://en-sa.whatjobs.com/pub_api__cpl__10730613__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
Data Engineer: Build Scalable Data Pipelines & Warehouses,Telgani | Rent a car,Riyadh,Saudi Arabia,2026-09-10,Full-time,,"Telgani | Rent a car in Riyadh is seeking a Data Engineer to build and maintain ETL/ELT data pipelines, develop and optimize databases, and ensure data quality across systems. The role focuses on scalable data workflows and robust data governance to support trusted analytics. You will integrate data from multiple sources to support analytics, reporting, and BI, and collaborate with engineering and business teams to deliver reliable data solutions.","['analytics', 'data governance', 'data pipelines', 'data quality', 'elt', 'etl', 'governance']",https://en-sa.whatjobs.com/pub_api__cpl__10732073__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
Senior Python Backend Engineer – iGaming Scale,JobCubby,,Saudi Arabia,2026-09-10,Full-time,,"JobCubby, in partnership with a Saudi-based client, seeks a Middle to Senior Python Developer to build high-performance backend systems within an iGaming technology environment. You will work with Python and Django, owning production reliability and architectural decisions, and contribute to integrations with payment methods and data providers. You will collaborate with an international team, drive initiative and quality, and take ownership from development through delivery while supporting","['backend', 'django', 'python']",https://en-sa.whatjobs.com/pub_api__cpl__10729792__7118?utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
Senior .NET Core Backend Engineer: Scalable APIs,Uzaif,Riyadh,Saudi Arabia,2026-09-10,Full-time,,"Uzaif is seeking a Senior Backend Developer in Riyadh to design and implement scalable .NET Core solutions. You will build secure RESTful APIs, manage data access with EF Core, and collaborate with product teams to deliver high-quality software. Ideal candidates have 4+ years of .NET Core experience, strong C , and experience with SQL Server or PostgreSQL, plus familiarity with frontend basics and Git in an Agile environment.","['agile', 'api', 'backend', 'csharp', 'dotnet', 'ef core', 'frontend', 'git', 'postgresql', 'rest', 'sql', 'sql server']",https://en-sa.whatjobs.com/pub_api__cpl__10729886__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
Senior Backend Developer,Uzaif,Riyadh,Saudi Arabia,2026-09-10,Full-time,,"We are looking for a highly skilled Senior Backend Developer with strong expertise in .NET Core to join our growing engineering team. You will be responsible for building scalable, high-performance backend systems and delivering clean, maintainable code in collaboration with cross-functional product teams. Key Responsibilities Design, develop, and maintain scalable backend systems using .NET Core and ASP.NET Core. Build secure and high-performance RESTful APIs. Develop and manage data access using Entity Framework Core. Collaborate with cross-functional teams to deliver high-quality software solutions. Write clean, maintainable, and testable code following industry best practices. Participate in code reviews and contribute to continuous improvement of development standards. Troubleshoot, debug, and optimize application","['agile', 'angular', 'api', 'aspnet', 'aspnet core', 'azure', 'azure devops', 'backend', 'ci cd', 'containerization', 'csharp', 'css', 'devops', 'docker', 'dotnet', 'entity framework', 'entity framework core', 'git', 'html', 'javascript', 'microservices', 'net', 'postgresql', 'react', 'rest', 'sql', 'sql server', 'version control']",https://en-sa.whatjobs.com/pub_api__cpl__10730751__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
Backend Engineer II — Go/RoR/Python/Java | Relocation,HungerStation | هنقرستيشن,Riyadh,Saudi Arabia,2026-09-10,Full-time,,"HungerStation is seeking a Software Engineer II - Backend to join our Riyadh team. You will collaborate with the product team to translate requirements into scalable backend solutions and ensure high-quality software delivery across services. The ideal candidate has 4-5 years in backend development with GoLang, RoR, Java, or Python, plus knowledge of microservices, DDD, and Kubernetes. Relocation support is available for permanent roles.","['backend', 'go', 'golang', 'java', 'kubernetes', 'microservices', 'python']",https://en-sa.whatjobs.com/pub_api__cpl__10730902__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
GCP Cloud Infra & DevOps Engineer — CI/CD & Security,1Pass,Jeddah,Saudi Arabia,2026-09-10,Full-time,,"1Pass is seeking a hands-on DevOps/Platform Engineer to own the day-to-day health of our Google Cloud environment, build and maintain CI/CD pipelines, and act as the first line of defence on infrastructure security. You will define environments with Terraform, manage backups and disaster recovery, implement monitoring, logging and cost accounting, and ensure compliance with PDPL while keeping systems scalable.","['ci cd', 'ci/cd', 'cloud', 'devops', 'disaster recovery', 'gcp', 'google cloud', 'terraform']",https://en-sa.whatjobs.com/pub_api__cpl__10731448__7118?geoID=18992&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
DevOps Engineer,Saudi Azm عزم السعودية,Riyadh,Saudi Arabia,2026-09-10,Full-time,,"Key Responsibilities Design, implement, and manage CI/CD pipelines. Automate infrastructure provisioning using Infrastructure as Code (IaC). Deploy and maintain applications across cloud and on-premises environments. Manage containerized workloads using Docker and Kubernetes. Monitor system availability, performance, security, and capacity. Identify and resolve infrastructure, application, and deployment issues. Implement logging, alerting, backup, and disaster-recovery solutions. Apply security best practices throughout the software development lifecycle. Manage source-control strategies, release processes, and environment configurations. Improve platform reliability, scalability, and deployment frequency. Develop scripts and tools to reduce manual operational tasks. Maintain technical documentation, runbooks, and architecture","['ansible', 'automation', 'aws', 'azure', 'azure devops', 'bash', 'ci cd', 'ci/cd', 'cloud', 'cloud security', 'cloudformation', 'datadog', 'devops', 'distributed systems', 'docker', 'elk', 'flux', 'gcp', 'github', 'github actions', 'gitlab', 'gitops', 'grafana', 'infrastructure as code', 'jenkins', 'kubernetes', 'linux', 'microservices', 'networking', 'observability', 'powershell', 'prometheus', 'pulumi', 'puppet', 'python', 'secrets management', 'serverless', 'software development lifecycle', 'splunk', 'terraform']",https://en-sa.whatjobs.com/pub_api__cpl__10732310__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
