job_title,company_name,city,country,posted_date,employment_type,education,job_description,skills,job_url
Software Evaluation Engineer,Trideum Corporation,,Saudi Arabia,2026-09-11,Full-time,,"Software Evaluation Engineer (Mid-level) Full-time Huntsville, AL About Us Trideum Corporation is a 100% employee-owned company, committed to embracing the world’s toughest challenges with a servant’s heart. Through dedicated hard work and commitment, we provide distinctive...",,https://jooble.org/jdp/879227776361135001
2026-08-A Software Engineer,"1st Edge, LLC",,Saudi Arabia,2026-09-01,Full-time,,"...work, 1st Edge cultivates an innovative and collaborative environment with meaningful work. 1 st Edge is seeking a skilled Software Engineer to join our team. In this position, you will play a vital role in developing and maintaining software for the Missile Defense...",,https://jooble.org/jdp/-6169002440798218671
Launch Vehicle Software Engineer,X-Bow Systems,,Saudi Arabia,2026-09-15,Full-time,,"...exploration and defense applications. Our team of innovative engineers and scientists is committed to pushing the boundaries of what'... ...operations, we are seeking a talented and driven Launch Vehicle Software Engineer to join our team.Job Description:X-Bow Systems is...",,https://jooble.org/desc/-7912072291144072647
"Software Engineer - Huntsville, AL","Davidson Technologies, Inc.",,Saudi Arabia,2026-09-14,Full-time,,"...Specifically, we're recognized for hiring noted experts, experienced engineers and scientists dedicated to designing and delivering advanced,... ...defense of our Nation.Davidson Technologies Inc. is seeking a Software Engineer onsite in Huntsville, AL. Davidson will be supporting...",,https://jooble.org/desc/-3956586739974682654
Software Engineer II,Advanced Sciences and Technologies (AS&T),,Saudi Arabia,2026-09-15,Full-time,,"...ROLE AND RESPONSIBILITIES Software Engineering II Work in a collaborative team using agile software development methodology, performing the following tasks: Develop software maintenance and upgrade solutions for tactical systems on a collaborative agile team....",agile,https://jooble.org/jdp/7944490812027676794
Software Engineer IV,Pinnacle Group,,Saudi Arabia,2026-09-03,Contract,,"...Position: Software Engineer IV Location: Remote Duration: Contract Job ID: 179452 Job Overview: The Software Engineer IV will oversee the development, modification, and maintenance of applications. This role involves monitoring system applications, ensuring smooth...",,https://jooble.org/jdp/-827220700325026812
Senior Software Engineer,System One,,Saudi Arabia,2026-09-04,Contract,,"...Senior Software Engineer (Onsite) Huntsville, AL Type: Contract-to-hire Work schedule: 40 hours/week Security clearance: Active Secret clearance or ability to obtain Pay rate: $117-125/HR Overview We’re hiring a Senior Software Engineer...",,https://jooble.org/jdp/7855577297004266435
Senior Software Engineer,Camgian Corporation,,Saudi Arabia,2026-07-23,Full-time,,"...Camgian is seeking a Senior Software Engineer who will lead the development of software frameworks and applications through architecture, design, implementation, testing and documentation. The successful candidate will lead or support various project tasks, organize, schedule...",,https://jooble.org/jdp/8397870626244695934
Senior Software Engineer,KBR,,Saudi Arabia,2026-09-12,Full-time,,"...Title: Senior Software Engineer Job Summary The Senior Software Engineer supports software development and integration activities for advanced weapon system programs, with responsibility for ensuring software products meet technical, schedule, and mission requirements...",,https://jooble.org/jdp/8875766305300354128
Senior Back-End Software Engineer,"Sigmatech, Inc.",,Saudi Arabia,2026-06-25,Full-time,,"...The Back-End Software Engineer will be responsible for architecting and developing mission-critical backend applications, microservices, and data platforms that support defense operations and advanced analytics. The engineer will work closely with software, data, and systems...","analytics, back end, microservices",https://jooble.org/jdp/973995529453765658
Junior / Mid-level Data Links Software Engineer,enVention,,Saudi Arabia,2026-09-01,Full-time,,"...ENVENTION has an immediate opening for a Junior to Mid-level Software Engineer to work on an ongoing program that provides interoperability with tactical data protocols (e.g., Link 16, Link 11, and JREAP), delivers certified tactical network integration, and provides message...",,https://jooble.org/jdp/-6149589660304586571
Software Engineer,Trideum Corporation,,Saudi Arabia,2026-08-25,Full-time,,"Software Engineer (Front End Specialist) Full-time Huntsville, Alabama About Us Trideum Corporation is a 100% employee-owned company, committed to embracing the world’s toughest challenges with a servant’s heart. Through dedicated hard work and commitment, we provide...",front end,https://jooble.org/jdp/-7209736774742955299
"Senior Software Engineer, Windows/Desktop Applications - Montgomery, USA",Speechify,,Saudi Arabia,2026-02-28,Full-time,,"... Speechify has no office. These include frontend and backend engineers, AI research scientists, and others from Amazon, Microsoft, and... ...), and a dedication to building accessible and inclusive software. ~ Excellent software engineering fundamentals: OOP, design...","ai, backend, frontend, oop",https://jooble.org/jdp/5797590897864132569
